"Year","StockScen","CharScen","RenScen","ElecScen","Var","GHG","Source","Ann. Emissions"
2026,1,"A","RR","LREC","NewOilGHG",1.22840980274966,"Oil New","Oil New"
2027,1,"A","RR","LREC","NewOilGHG",1.43209438580659,"Oil New","Oil New"
2028,1,"A","RR","LREC","NewOilGHG",1.62528484347037,"Oil New","Oil New"
2029,1,"A","RR","LREC","NewOilGHG",1.8033062666412,"Oil New","Oil New"
2030,1,"A","RR","LREC","NewOilGHG",1.96148374621923,"Oil New","Oil New"
2031,1,"A","RR","LREC","NewOilGHG",2.09705119633435,"Oil New","Oil New"
2032,1,"A","RR","LREC","NewOilGHG",2.21487782403512,"Oil New","Oil New"
2033,1,"A","RR","LREC","NewOilGHG",2.32174165959981,"Oil New","Oil New"
2034,1,"A","RR","LREC","NewOilGHG",2.4244207333067,"Oil New","Oil New"
2035,1,"A","RR","LREC","NewOilGHG",2.52969307543403,"Oil New","Oil New"
2036,1,"A","RR","LREC","NewOilGHG",2.64236631500318,"Oil New","Oil New"
2037,1,"A","RR","LREC","NewOilGHG",2.75936647600791,"Oil New","Oil New"
2038,1,"A","RR","LREC","NewOilGHG",2.87564918118507,"Oil New","Oil New"
2039,1,"A","RR","LREC","NewOilGHG",2.98617005327154,"Oil New","Oil New"
2040,1,"A","RR","LREC","NewOilGHG",3.08588471500418,"Oil New","Oil New"
2041,1,"A","RR","LREC","NewOilGHG",3.17135327193274,"Oil New","Oil New"
2042,1,"A","RR","LREC","NewOilGHG",3.24555376085861,"Oil New","Oil New"
2043,1,"A","RR","LREC","NewOilGHG",3.31306870139607,"Oil New","Oil New"
2044,1,"A","RR","LREC","NewOilGHG",3.37848061315939,"Oil New","Oil New"
2045,1,"A","RR","LREC","NewOilGHG",3.44637201576285,"Oil New","Oil New"
2046,1,"A","RR","LREC","NewOilGHG",3.51992871043159,"Oil New","Oil New"
2047,1,"A","RR","LREC","NewOilGHG",3.59674962483407,"Oil New","Oil New"
2048,1,"A","RR","LREC","NewOilGHG",3.67303696824965,"Oil New","Oil New"
2049,1,"A","RR","LREC","NewOilGHG",3.74499294995764,"Oil New","Oil New"
2050,1,"A","RR","LREC","NewOilGHG",3.80881977923739,"Oil New","Oil New"
2051,1,"A","RR","LREC","NewOilGHG",3.86180949388385,"Oil New","Oil New"
2052,1,"A","RR","LREC","NewOilGHG",3.90561344575454,"Oil New","Oil New"
2053,1,"A","RR","LREC","NewOilGHG",3.94297281522261,"Oil New","Oil New"
2054,1,"A","RR","LREC","NewOilGHG",3.97662878266121,"Oil New","Oil New"
2055,1,"A","RR","LREC","NewOilGHG",4.00932252844347,"Oil New","Oil New"
2056,1,"A","RR","LREC","NewOilGHG",4.04357726723943,"Oil New","Oil New"
